"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2015) - Industrie pharmaceutique (NAF rév. 2, niveau A38, poste CF)";"Codes"
"idBank";"010537926";""
"Période";"";""
"2010-01";"88.76";"A"
"2010-02";"86.12";"A"
"2010-03";"90.68";"A"
"2010-04";"86.24";"A"
"2010-05";"88.59";"A"
"2010-06";"90.28";"A"
"2010-07";"93.93";"A"
"2010-08";"87.17";"A"
"2010-09";"82.93";"A"
"2010-10";"86.37";"A"
"2010-11";"84.23";"A"
"2010-12";"85.84";"A"
"2011-01";"82.6";"A"
"2011-02";"89.56";"A"
"2011-03";"83.22";"A"
"2011-04";"79.81";"A"
"2011-05";"82.33";"A"
"2011-06";"79.94";"A"
"2011-07";"86.19";"A"
"2011-08";"88.8";"A"
"2011-09";"82.75";"A"
"2011-10";"85.5";"A"
"2011-11";"87.75";"A"
"2011-12";"86.52";"A"
"2012-01";"80.93";"A"
"2012-02";"88.22";"A"
"2012-03";"87.54";"A"
"2012-04";"95.61";"A"
"2012-05";"93.7";"A"
"2012-06";"92.96";"A"
"2012-07";"89.61";"A"
"2012-08";"96.98";"A"
"2012-09";"89.96";"A"
"2012-10";"80.5";"A"
"2012-11";"86.95";"A"
"2012-12";"86.03";"A"
"2013-01";"91.95";"A"
"2013-02";"88.39";"A"
"2013-03";"89.34";"A"
"2013-04";"91.69";"A"
"2013-05";"95.06";"A"
"2013-06";"90.43";"A"
"2013-07";"88.56";"A"
"2013-08";"84.88";"A"
"2013-09";"89.45";"A"
"2013-10";"87.8";"A"
"2013-11";"88.25";"A"
"2013-12";"87.86";"A"
"2014-01";"80.98";"A"
"2014-02";"89.71";"A"
"2014-03";"86.01";"A"
"2014-04";"86.51";"A"
"2014-05";"80.46";"A"
"2014-06";"79.57";"A"
"2014-07";"81.99";"A"
"2014-08";"89.25";"A"
"2014-09";"88.86";"A"
"2014-10";"89.88";"A"
"2014-11";"89.89";"A"
"2014-12";"90.69";"A"
"2015-01";"96.39";"A"
"2015-02";"99.47";"A"
"2015-03";"100.15";"A"
"2015-04";"98.7";"A"
"2015-05";"99.81";"A"
"2015-06";"98.28";"A"
"2015-07";"99.12";"A"
"2015-08";"99.36";"A"
"2015-09";"100.28";"A"
"2015-10";"100.4";"A"
"2015-11";"99.54";"A"
"2015-12";"108.5";"A"
"2016-01";"99.94";"A"
"2016-02";"93.45";"A"
"2016-03";"96.92";"A"
"2016-04";"96.01";"A"
"2016-05";"98.91";"A"
"2016-06";"103.85";"A"
"2016-07";"99.76";"A"
"2016-08";"102.32";"A"
"2016-09";"97.73";"A"
"2016-10";"93.55";"A"
"2016-11";"107.83";"A"
"2016-12";"99.53";"A"
"2017-01";"99.9";"A"
"2017-02";"98.79";"A"
"2017-03";"90.99";"A"
"2017-04";"102.8";"A"
"2017-05";"101.26";"A"
"2017-06";"102.21";"A"
"2017-07";"101.63";"A"
"2017-08";"94.78";"A"
"2017-09";"103.29";"A"
"2017-10";"105.53";"A"
"2017-11";"111.95";"A"
"2017-12";"105.85";"A"
"2018-01";"104.07";"A"
"2018-02";"104.09";"A"
"2018-03";"107.86";"A"
"2018-04";"106.21";"A"
"2018-05";"106.33";"A"
"2018-06";"109.6";"A"
"2018-07";"109.91";"A"
"2018-08";"108.35";"A"
"2018-09";"108.17";"A"
"2018-10";"110.9";"A"
"2018-11";"110.57";"A"
"2018-12";"117.29";"A"
"2019-01";"109.84";"A"
"2019-02";"115.91";"A"
"2019-03";"102.28";"A"
"2019-04";"110.96";"A"
"2019-05";"126.31";"A"
"2019-06";"111.98";"A"
"2019-07";"117.9";"A"
"2019-08";"114.07";"A"
"2019-09";"117.83";"A"
"2019-10";"129.28";"A"
"2019-11";"114.97";"A"
"2019-12";"118.52";"A"
"2020-01";"121.44";"A"
"2020-02";"115.0";"A"
"2020-03";"133.23";"A"
